	comment	replie	like_num	dislike_num
33	침투횟수가 많아지니 스태미너 이슈도 중요해지겠군..교체자원도 필수가 될지도?	[]	1	0
34	5백보다 4백이 좋은이유가 어떤거일까요?Zd는 기존보다 너프인거같고 아크정면 파워슛 공간나는건 기존에도 5백 고질병이었으니까 포켓공간 채워야하는건 같은데오히려 sq패스나 침투방향 설정으로인한 박스내 공격수 노마크찬스는 4백에서 더 많이 나오는상황 아닌가요?	[]	0	0
35	스피디하고 시원시원해서 피파하는건데점점 본연의 맛을 잃어가네	[]	1	0
36	Q침투가 패드는 사선이 되는데 그게 가장 큰 차이임 공격에서 2명정도 사선뛰고 sq로 침투하면 사실상 1:1에서는 피지컬좋은사람 아니면 손놓고 당함	[]	0	0
37	설명 되게 잘하시네요.	[]	0	0
38	봉훈님 그러면 수비시에는 커서수비위주로 플레이해야하나요? 공격루트가 다양해지는패치는 너무 환영하지만 수비를 잘못하는저로서는 어떻게 수비를 진행하면좋을지 고민입니다	[]	0	0
39	더 실력겜이 될 거 같아서 재밌을 거 같긴한데 피파 특유의 억까가 사라질까…	[]	0	0
40	투톱 침투 메타올듯 달리기 빠른애 한명 타게터한명	[]	0	0
41	아무리 원래 패드 겜이였다고 해도....피파4는 키보드 겜이였는데.... 피파4는 키보드 유저가 압도적으로 많은데 키보드 유저를 생각해주는 패치를 내는게 어땠을지......	[]	0	0
42	뽕훈아 고맙다 ㅈ덕분에 이해했따.	[]	0	0
43	키 작은 키퍼들은 패치 후에도 중거리 먹히는건 똑같나보다 ㅠ	[]	0	0
44	본가느낌 나고 좀 좋아졌네	[]	0	0
45	이제 즐라탄이나 드록바 같은 헤딩 야무진 선수들도 살아날수있겠구먼유	[]	0	0
46	와 게임 존나 복잡하고 어려워졌네	[]	0	0
47	유정훈 드리블 더 맛도리 되네	[]	1	0
48	진짜 피파 존~~~나맛있어보이네 간만에	[]	0	0
49	전개 하는 방법 알려주니까 좋네	[]	0	0
50	SQ는 대각으로 뛰는게 아니라 오버랩입니다 패스를 준 선수의 뒤로 돌아가는겁니다	[]	0	0
51	복잡해진만큼 오히려 선수 고유 ai에 맡겨보는것도 꽤 괜찮을지도..?	[]	0	0
52	진짜 머싯다	[]	0	0
53	대규모 업데이트 한 김에 뉴 개인기 정리영상 올려주시면 좋을거 같아요!	[]	0	0
54	존버수비 너프 먹은게 ㅈㄴ 꼬시다 ㅋㅋ	[]	1	0
55	개인적으로 맥너겟인가 뭔가 진짜 개좋은거같음	[]	4	0
56	영상이 친절하고 주인장이 맛있어요	[]	262	0
57	ㄹㅇ 패치 좋은듯. 너무 오랫동안 퍼터 침패침 삐용이들고 사이드 컷백 침투 dd 이거랑 zd말곤 공격패턴이 안나옴..	[근데 그럼 그거말고 뭘해야돼요?,  @ㅛ  이번패치로 sq침투랑 공격루트 다양해진거 말한거잖어 뭘 하긴 뭘하누]	1	0
58	그래 이걸 기다리고있었어	[]	0	0
59	한국 어떻게 될지 두렵다	[]	0	0
60	커서풀리는 개인기는 좀 더 deep하게 알고싶은걸 신림그라가스	[]	0	0
61	나중에 패치되면 침투방향 화살표가 보이게하는게 무조건 나으려나요?조금 ui가 늘어나서 어색해보이는데..	[]	0	0
62	겜 ㅈㄴ 잼써졌네	[]	0	0
63	스트레스 받기 싫어 패드로 넘어 온게 이렇게 신의 한수가 되다니.ㅋ신바람 축구 가즈아!ㅋ넛맥, RS침투 잼있겠다.^^	[]	0	0
64	너무 어려워진다 ㄷㄷ 아케이드슛팅겜이 재밌는데ㅜ	[]	0	0
65	와 근데 ㄹㅇ 쉽게쉽게 하네	[]	0	0
66	유봉훈 유익하다!	[]	0	0
67	존나 재밌겠다 피파	[]	0	0
68	아니 근데 테섭에서 키보드로 하면서 느낀건데 침투 방향 설졍 하는 키가 쉬프트라 입력할려고 누르면 갑자기 터치를 길게 처버리게됨	[]	0	0
69	사실상 피파5 오픈베타네 진짜로 수비하는 게 개빡셀듯	[]	1	0
70	박스안슛보다 중거리가더잘들어가는겜너프를드뎌하구나이제진짜 실력겜된듯	[]	4	0
71	호다닥 달려온 봉냥이들 여기있습니다	[]	0	0
72	파워슛 실전 활용도는 있으려나	[]	0	0
73	파워슛페이크 본가에선 자주썻는데 되려나 ㄹㅇ 띠꺼운데 당하면	[]	0	0
74	이 형님은 기리보이 정말 좋아하시나보네	[]	0	0
75	근데 SQ는 하향조정 좀 해야겠는데...	[]	0	0
76	이러다가 유봉훈 현역 복귀하면 안되는데… 유튜브 줄어들면 안되는데…..	[]	0	0
77	내가 q톡을 하고 바로 쉬프트방향키를 하면서 내 공을 지킬 수 있을까.. 내가 qz쉬프트 방향키를 한번에누를수 있을까..	[]	0	0
78	저거 침투하는 화살표를 어떻게 설정하는거죠?	[]	0	0
79	현재 프딱이 월딱이들은 티어별차이 없을듯ㅋㅋ	[]	1	0
80	봉훈이는 뭐가 그렇게 재밌을까	[]	0	0
81	게임 존나 어려워졌네 ㅋㅋㅋ물론 내 티어에서는 비슷할거 같지만 고점이 엄청 올라가는 패치인듯	[]	0	0
82	2:54초에 공 뒤로 재끼는건 키보드 무슨키 누르는건가요?	[]	0	0
83	1:11 초사이언봉훈	[]	0	0
84	이상호 떡락ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ	[]	0	0
85	드디어 저능아침투에서 공간찾기 도입했네	[]	0	0
86	화살표 나올때 침투 방향을 어떻게 설정해요?	[]	0	0
87	봉훈이형 키보드 뭐쓰는지아시는분 소리개좋네요	[]	0	0
88	이태리 유저인데 이젠 침투 방향 지정으로 발로텔리 실사용 가능하겠죠?	[]	0	0
89	봉훈씨 패드 퍼터를 못 치겠엉	[]	0	0
90	봉훈이형 LH 차범근 감차 어떤지 확인 좀 해주세요. 진짜 진지합니다.	[]	0	0
91	구라 안치고 파워슛 ㅈ사기라서 완전 수동이어야 하는게 맞는데 키보드 유저분들 땜에 또 어쩔 수가 없네;;	[]	0	0
92	키작은키퍼 어케변했는지도 알려주세요ㅜㅠ 아무도안알려주네요	[]	1	0
93	파워슛이랑 타임드슛이랑 같이 도입했나보네 피온은 안그래도 중거리 좋은데 저거까지 넣으면 ㄹㅇ 중거리겜 되는거 아닌가 모르겟네.. 본가는 중거리가 일반슛으로는 거의 불가능에 가까워서넣어도 ㄱㅊ은 기능들인데	[]	0	0
94	게임이 뭔 이렇게 확확 바뀌는게 맞나	[]	0	0
95	4월에 군대가는데 피파도태남 되겠네;;	[]	0	0
96	이 채널 교양있네요	[]	0	0
97	잘쓰려면 연습 많이 해야겠다	[]	0	0
98	망겜되면 어떻게 하냐 우리 봉짱	[]	0	0
99	피파는 실력겜이 아니야 ...	[]	0	0
100	월1딱인 나는 이제 프로에 서식하겠고만...	[]	1	0
101	키보드로 침투길 나오게 어떻게해요?	[]	0	0
102	어우 수비 ㅈㄴ머리아프겠네	[]	0	0
103	봉훈옆에 달글리시 머냐	[]	0	0
104	1:08 삼각함수...?	[]	0	0
105	갑자기 이렇게 확 바뀌면 적응 못할거같은데 어카냐	[]	0	0
106	뭔가 본가겜 처럼 바꾸려는건가	[]	0	0
107	대규모 패치한거군여	[]	0	0
108	패치되면 무지성. 중거리 충들 사라질려나	[]	1	0
109	이렇게되면훈코에 사이렌 침패침이 씹구데기+이제 좋은선수들 움직임 그딴거 쓸모1도 없어짐..몸쌈에 체감만 좋으면 겜끝.감차도 몇천억짜리아니면 ㅆㄹㄱㄹㅇ현질은 몇백 몇천해서 선수사는거 아니면현질할맛 안나겟다 ㅅㄱ	[]	0	0
110	중간에 카카로 한거 무슨 개인기에요??	[]	0	0
111	본섭 적용은 언제부터해요?	[]	0	0
112	수비 ㅈ나 힘들겠다	[]	0	0
113	4:54 뭔 개인기인가요?	[]	0	0
114	저 화살표 방향나오는 침투는 뭐임??	[]	0	0
115	즐라탄 떡상 가나	[]	0	0
116	아니 저거 화살표 침투 키보드는 못하는거 아님?	[]	0	0
117	1:33 그건 ai 아닌데.. ai 안써요	[]	0	0
118	한국 선수틀 뻥스탯이나 고치라고 ㅋㅋ	[]	0	0
119	키보든데개인기도 쓰기 어려워서 안썼는데 SQ고 뭐고 머리아파서 어케 다 쓰냐.. 애초에 QS도 아예 안썼는데..	[]	0	0
120	예상 변경점스트라이커 -볼컨트롤 좋은 투톱윙 - 역시나 볼컨트롤이 좋아야됨중원 - 중거리&슛파워 가장중요하고 민첩성이 중요해지지않을까 (D수비대신 C수비활용으로 방향전환이 좋아야할듯)센터백 - 각목수비수 멸망. 직접 컨트롤하기 좋은 수비수 떡상풀백 - 바뀔거 없을듯키퍼 - 그대로 피지컬좋은 키퍼포메이션 - 4222, 442, 41212 전술 - 그대로	[]	0	0
121	4:54 그래서 뭔데 형	[]	0	0
122	방배우라 그정도 하는거지 라이트 유저는 죽은거 맞음	[]	0	0
123	그럼 이제 q로 침투 시켜 놓고 쉬프트 사용하는 개인기는 못 하는거임?	[]	0	0
124	그래서 침투커서가 뭔데	[]	0	0
125	이상호님이 이번 패치를 싫어합니다.	[]	0	0
126	키보드 힘들것같은뎅..	[]	0	0
127	ㅈㄴ 별론데 패드 쓰는 사람은 키보드도 좋다고 억빠하는데 물론 패드도 어렵겠지 근데 키보드랑 솔직히 격차 더 심해짐	[]	16	0
128	본섭에 패치 언제됨	[]	0	0
129	나같은 사람들은 이제 접을때가 된거같다	[]	0	0
130	키보드 죽은거 맞음	[]	0	0
131	잼민이들 사망ㅋㅋ무지성 중거리 때리는 놈들 그냥 접어라 ㅋㅋㅋ	[]	0	0
132	레반 더 떡상??	[]	0	0
133	저거 선수 침투길 왜보임?	[]	0	0
134	"키보드는 파워슛 커맨드가 어케 되나요""…?????"	[]	1	0
135	피파 대낙 믿을만해요?? 해보신 형님들	[당연]	0	0
136	QS SQ 커멘드 순서가 다른거임?? 아무리 봐도 잘 모르겠네..	[]	0	0
137	유하~~~~~	[]	0	0
138	피듬히어로 ㅋ	[]	0	0
139	키퍼 AI도 바꾸라고	[]	0	0
140	근데 향상이 뭐냐 하향 아니냐 ?	[]	0	0
141	님들아 아직 파워슛 안나왔어요? 댓좀..	[]	0	0
142	레알 팀 존나 낭만없네 ㅉ feat. 현역 레알	[]	0	0
143	1타다..	[]	0	0
144	피파23에서  해봄	[]	0	0
145	침패침 빼고 딴거 넣어야하네..하 싹다 갈아야하노The zd  초 ㅡㅡ비ㅡㅡ상	[]	1	0
146	벌써 패치 됐음?	[]	1	0
147	테스트 서버 피파 bj들만 할수있나요?	[]	0	0
148	파워슛어케해요	[]	0	0
149	방향은 우째함?	[]	0	0
150	수비 어떻게 하냐 이제	[]	0	0
151	ㅈ같이 피곤하다 게임 쉬운맛에 했는데	[]	0	0
152	4:52 뭔개인기게?만 하지말고 알려줍쇼	[]	0	0
153	키보드랑 패드랑 격차 더벌려질듯 유일하게 키보드가 패드 대응할수있는게 q부였는데 그거 없어지면 ㅋㅋㅋ 키보드는 그냥 개처맞음 ㄹㅇ	[]	0	0
154	옵사버그는 안고치나	[]	0	0
155	형 지금 apex3 쓰고있어요?제발 답글좀 ㅠㅠㅠ	[]	0	0
156	다른게임을 만들어 놓네;	[]	0	0
157	그니까  파워슛 키가뭔데  ? 지만쓰나	[F+D임다]	0	0
158	테섭임?	[]	0	0
159	뭔 피파가 포트리스가 돼가네 개섭종각	[ㅇㅇ제발삭제해,  @맥주  현질 많이 해라 꼬마야 ㅋㅋㅋㅋ, 섭종되길 바라는 김김김씨 ㅋㅋㅋ, ​ @람붕르기니  쥐도 새도 모르게 사라진다 ㅋㅋㅋ]	3	0
160	1등	[]	0	0
161	하이	[]	0	0
162	Socks	[]	0	0
163	이제 크로스메타 너프했을 때 처럼 골 너무 안들어간다고 찡찡거리면서 한판에 1~2골 나오는 게임보다 3~4골 들어가던 게임이 더 낫다고들 그러겠지…	[]	1	0
