comment|label
최근에 마블도 망했고 볼만한 영화가 거의 없었는데 덕분에 좋은 시간을 보낼수 있었습니다.|B
아 남양주 사는 사람인데 남양주 좋다고 하신 분께 절 합니다 꾸벅|B
와 남양주|B
남양주 오시면 왕의 고종의 무덤 하고 덕혜옹주 무덤 그리고 전통 한옥을 볼수 있습니다. 그리고 100년 넘은 초등학교도 있습니다. 꼭 와주세요~|G
영덕 강추 입니다!! 황금빛 들판, 푸른바다가 실제한다구욥 !!!!!!! 😊|G
😊😊😊|B
고흥 어떨까요. 우주센터라던가 소록도라던가 소재로 쓸 요소가 많다고 생각합니다.|G
3:04 밀양 무연 마을을 추천합니다|G
진짜 지극히 개인적이고 말도 안되는 욕심이긴 하지만 한국과 일본의 연결고리가 있는 스토리 라던가 한국에 관한 스토리의 신카이 마코토 감독님 작품이 나왔음 좋겠다|G
감독님 팬입니다 앞으로도 좋은영화 많이 만들어주세요~|G
나노카 분 엄청 이쁘시다. 소타 성우도 엄청 잘생기셨는데|G
스즈메역 연기자분 너무 큩 하시다|B
명예 한국인 신해성어디 신씨일까|B
독도는 대한민국의 고유 영토다!!!!!!!|G
별의목소리부터 초속5센티미터까지 진짜 신카이마코토감독님의 감성을 너무좋아했는데 어느순간부터 너무상업적으로 가버리셨네 그것도 어쩔수없었겠죠ㅠ|B
남양주는 시골이아니에여어엉 ㅋㅋㅋㅋㅋ 으악ㅋㅋㅋㅋ|G
이남자 코가 굉장하다|G
남양주 사람인데요.. 시골..? 그냥 어딜가든 시골 입니다 ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ|B
남양주시를 어케 아누...ㄷㄷㄷㄷ|B
충청남도  조치원 가보세요 거기에서는 조치원 파닭이 유명해요. 음식이 완전 맛있어요. 사람들이 인심이 좋아요!|G
SNL 패러디 인줄 알고 들어 왔는데..|B
스즈메가 마지막 작품인가요?|B
개그맨 정상훈 폼 미쳤다|B
쉬는날에 함 보러갈까 조조로... 커플도 싫고 애기들도 싫어서...|B
사랑해요|G
남양주에 집사러 갑니다. 300만되면 저 좀 안아주러 오세요 감독님 알라뷰.|G
다이진 너무 귀여웠어요~~!!|G
놀라운 것은, 그녀가 아직 19세인 것.|G
감독님한테 전원일기보여드리고싶군요시골풍경 ㅋㅋ|B
엄청난 미인!|G
신카이가 만드는 한국풍경 보고싶다 그곳은 성지가 될것이다|G
시골은..아니지만 강릉 한번 가보시라고 하고싶네요|B
저 의자라는 소재 참 좋은 것 같음|G
고흥이나 남해는 어떨까요.아님 수원화성이나 진주 혁신도ㅅ|B
남양주!!!|B
남양주..? 남양주시 맞죠?|B
신카이 감독님이 만약에 만에 하나 한국을 배경에 넣는다면 근대 일본이 가장 먼저 한국으로 들어온 부산이거나... 현재 한국에서 가장 여러모로 의미가 많은 DMZ 쪽이 아닐까 싶네요|G
